"--musica-chitarra-teoria","1.82","--musica-chitarra-pratica"
"--musica-chitarra-ripasso","1.50","--musica-chitarra-teoria"
"--musica-chitarra-ripasso","2.73","--musica-chitarra-pratica"
"--musica-chitarra-simulazione","0.70","--musica-chitarra-teoria"
"--musica-chitarra-simulazione","1.27","--musica-chitarra-pratica"
"--musica-chitarra-simulazione","0.47","--musica-chitarra-ripasso"
"--storia-storia di francia-napoleone","1.20","--musica-chitarra-teoria"
"--storia-storia di francia-napoleone","2.18","--musica-chitarra-pratica"
"--storia-storia di francia-napoleone","0.80","--musica-chitarra-ripasso"
"--storia-storia di francia-napoleone","1.71","--musica-chitarra-simulazione"
"--italiano-dante-inferno","0.50","--musica-chitarra-teoria"
"--italiano-dante-inferno","0.91","--musica-chitarra-pratica"
"--italiano-dante-inferno","0.33","--musica-chitarra-ripasso"
"--italiano-dante-inferno","0.71","--musica-chitarra-simulazione"
"--italiano-dante-inferno","0.42","--storia-storia di francia-napoleone"
"--italiano-dante-purgatorio","0.53","--musica-chitarra-teoria"
"--italiano-dante-purgatorio","0.96","--musica-chitarra-pratica"
"--italiano-dante-purgatorio","0.35","--musica-chitarra-ripasso"
"--italiano-dante-purgatorio","0.76","--musica-chitarra-simulazione"
"--italiano-dante-purgatorio","0.44","--storia-storia di francia-napoleone"
"--italiano-dante-purgatorio","1.06","--italiano-dante-inferno"
"--italiano-dante-paradiso","1.50","--musica-chitarra-teoria"
"--italiano-dante-paradiso","2.73","--musica-chitarra-pratica"
"--italiano-dante-paradiso","1.00","--musica-chitarra-ripasso"
"--italiano-dante-paradiso","2.14","--musica-chitarra-simulazione"
"--italiano-dante-paradiso","1.25","--storia-storia di francia-napoleone"
"--italiano-dante-paradiso","3.00","--italiano-dante-inferno"
"--italiano-dante-paradiso","2.83","--italiano-dante-purgatorio"
